y_w,ge_timestamp,lt_timestamp
199943,940852009,941456809
199944,941456809,942061609
199945,942061609,942666409
199946,942666409,943271209
199947,943271209,943876009
199948,943876009,944480809
199949,944480809,945085609
199950,945085609,945690409
199951,945690409,946295209
199952,946295209,946900009
200001,946900009,947504809
200002,947504809,948109609
200003,948109609,948714409
200004,948714409,949319209
200005,949319209,949924009
200006,949924009,950528809
200007,950528809,951133609
200008,951133609,951738409
200009,951738409,952343209
200010,952343209,952948009
200011,952948009,953552809
200012,953552809,954157609
200013,954157609,954762409
200014,954762409,955367209
200015,955367209,955972009
200016,955972009,956576809
200017,956576809,957181609
200018,957181609,957786409
200019,957786409,958391209
200020,958391209,958996009
200021,958996009,959600809
200022,959600809,960205609
200023,960205609,960810409
200024,960810409,961415209
200025,961415209,962020009
200026,962020009,962624809
200027,962624809,963229609
200028,963229609,963834409
200029,963834409,964439209
200030,964439209,965044009
200031,965044009,965648809
200032,965648809,966253609
200033,966253609,966858409
200034,966858409,967463209
200035,967463209,968068009
200036,968068009,968672809
200037,968672809,969277609
200038,969277609,969882409
200039,969882409,970487209
200040,970487209,971092009
200041,971092009,971696809
200042,971696809,972301609
200043,972301609,972906409
200044,972906409,973511209
200045,973511209,974116009
200046,974116009,974720809
200047,974720809,975325609
200048,975325609,975930409
200049,975930409,976535209
200050,976535209,977140009
200051,977140009,977744809
200052,977744809,978349609
200101,978349609,978954409
200102,978954409,979559209
200103,979559209,980164009
200104,980164009,980768809
200105,980768809,981373609
200106,981373609,981978409
200107,981978409,982583209
200108,982583209,983188009
200109,983188009,983792809
200110,983792809,984397609
200111,984397609,985002409
200112,985002409,985607209
200113,985607209,986212009
200114,986212009,986816809
200115,986816809,987421609
200116,987421609,988026409
200117,988026409,988631209
200118,988631209,989236009
200119,989236009,989840809
200120,989840809,990445609
200121,990445609,991050409
200122,991050409,991655209
200123,991655209,992260009
200124,992260009,992864809
200125,992864809,993469609
200126,993469609,994074409
200127,994074409,994679209
200128,994679209,995284009
200129,995284009,995888809
200130,995888809,996493609
200131,996493609,997098409
200132,997098409,997703209
200133,997703209,998308009
200134,998308009,998912809
200135,998912809,999517609
200136,999517609,1000122409
200137,1000122409,1000727209
200138,1000727209,1001332009
200139,1001332009,1001936809
200140,1001936809,1002541609
200141,1002541609,1003146409
200142,1003146409,1003751209
200143,1003751209,1004356009
200144,1004356009,1004960809
200145,1004960809,1005565609
200146,1005565609,1006170409
200147,1006170409,1006775209
200148,1006775209,1007380009
200149,1007380009,1007984809
200150,1007984809,1008589609
200151,1008589609,1009194409
200152,1009194409,1009885609
200201,1009885609,1010404009
200202,1010404009,1011008809
200203,1011008809,1011613609
200204,1011613609,1012218409
200205,1012218409,1012823209
200206,1012823209,1013428009
200207,1013428009,1014032809
200208,1014032809,1014637609
200209,1014637609,1015242409
200210,1015242409,1015847209
200211,1015847209,1016452009
200212,1016452009,1017056809
200213,1017056809,1017661609
200214,1017661609,1018266409
200215,1018266409,1018871209
200216,1018871209,1019476009
200217,1019476009,1020080809
200218,1020080809,1020685609
200219,1020685609,1021290409
200220,1021290409,1021895209
200221,1021895209,1022500009
200222,1022500009,1023104809
200223,1023104809,1023709609
200224,1023709609,1024314409
200225,1024314409,1024919209
200226,1024919209,1025524009
200227,1025524009,1026128809
200228,1026128809,1026733609
200229,1026733609,1027338409
200230,1027338409,1027943209
200231,1027943209,1028548009
200232,1028548009,1029152809
200233,1029152809,1029757609
200234,1029757609,1030362409
200235,1030362409,1030967209
200236,1030967209,1031572009
200237,1031572009,1032176809
200238,1032176809,1032781609
200239,1032781609,1033386409
200240,1033386409,1033991209
200241,1033991209,1034596009
200242,1034596009,1035200809
200243,1035200809,1035805609
200244,1035805609,1036410409
200245,1036410409,1037015209
200246,1037015209,1037620009
200247,1037620009,1038224809
200248,1038224809,1038829609
200249,1038829609,1039434409
200250,1039434409,1040039209
200251,1040039209,1040644009
200252,1040644009,1041421609
200301,1041421609,1041853609
200302,1041853609,1042458409
200303,1042458409,1043063209
200304,1043063209,1043668009
200305,1043668009,1044272809
200306,1044272809,1044877609
200307,1044877609,1045482409
200308,1045482409,1046087209
200309,1046087209,1046692009
200310,1046692009,1047296809
200311,1047296809,1047901609
200312,1047901609,1048506409
200313,1048506409,1049111209
200314,1049111209,1049716009
200315,1049716009,1050320809
200316,1050320809,1050925609
200317,1050925609,1051530409
200318,1051530409,1052135209
200319,1052135209,1052740009
200320,1052740009,1053344809
200321,1053344809,1053949609
200322,1053949609,1054554409
200323,1054554409,1055159209
200324,1055159209,1055764009
200325,1055764009,1056368809
200326,1056368809,1056973609
200327,1056973609,1057578409
200328,1057578409,1058183209
200329,1058183209,1058788009
200330,1058788009,1059392809
200331,1059392809,1059997609
200332,1059997609,1060602409
200333,1060602409,1061207209
200334,1061207209,1061812009
200335,1061812009,1062416809
200336,1062416809,1063021609
200337,1063021609,1063626409
200338,1063626409,1064231209
200339,1064231209,1064836009
200340,1064836009,1065440809
200341,1065440809,1066045609
200342,1066045609,1066650409
200343,1066650409,1067255209
200344,1067255209,1067860009
200345,1067860009,1068464809
200346,1068464809,1069069609
200347,1069069609,1069674409
200348,1069674409,1070279209
200349,1070279209,1070884009
200350,1070884009,1071488809
200351,1071488809,1072093609
200352,1072093609,1072957609
200401,1072957609,1073303209
200402,1073303209,1073908009
200403,1073908009,1074512809
200404,1074512809,1075117609
200405,1075117609,1075722409
200406,1075722409,1076327209
200407,1076327209,1076932009
200408,1076932009,1077536809
200409,1077536809,1078141609
200410,1078141609,1078746409
200411,1078746409,1079351209
200412,1079351209,1079956009
200413,1079956009,1080560809
200414,1080560809,1081165609
